################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0610466084048621E+01 a         1     0     1     1     1
  1.1202347268129365E+01 a         2     0     1     1     2
  9.7054566440321928E+00 a         3     0     1     1     3
  4.0974569798286051E+00 a         4     0     1     1     4
  1.0755886652487450E+00 a         5     0     1     1     5
  8.7068441512832528E+00 a         6     0     1     1     6
  1.3221694515612285E+01 a         7     0     1     1     7
  9.3819571172680707E+00 a         8     0     1     1     8
 -3.3827368617492306E+00 a         9     0     1     1     9
 -3.0211659196888725E+00 a        10     0     1     1    10
  7.9333509377239242E+00 a        11     0     2     1     1
  7.9491234142582217E+00 a        12     0     2     1     2
 -6.4543216257334013E+00 a        13     0     2     1     3
  6.0511857072102950E+00 a        14     0     2     1     4
  8.1844571859916138E-01 a        15     0     2     1     5
 -1.0426210427266662E+01 a        16     0     2     1     6
 -1.6283004300707436E+01 a        17     0     2     1     7
 -2.1789231613269848E+00 a        18     0     2     1     8
  1.1097891859964516E+01 a        19     0     2     1     9
  1.3678426009880282E+00 a        20     0     2     1    10
  2.0837788094374606E+01 a        21     0     3     1     1
 -1.6077938727732256E+01 a        22     0     3     1     2
 -1.5385416926812930E+01 a        23     0     3     1     3
 -2.2525132848300096E+01 a        24     0     3     1     4
 -6.4493631853667379E+00 a        25     0     3     1     5
 -2.3437500014353827E+01 a        26     0     3     1     6
 -1.0296521033293921E+01 a        27     0     3     1     7
 -1.0480987019648346E+01 a        28     0     3     1     8
 -1.7995587874229283E+01 a        29     0     3     1     9
  3.5545140106373645E+00 a        30     0     3     1    10
 -2.5053375656537249E+01 a        31     0     4     1     1
 -1.8425621411868882E+01 a        32     0     4     1     2
  1.2380266871926628E+01 a        33     0     4     1     3
  2.4118286829964486E+01 a        34     0     4     1     4
  1.3498194063074667E+00 a        35     0     4     1     5
  4.5843328787813114E+01 a        36     0     4     1     6
  3.9877669306916786E+01 a        37     0     4     1     7
 -4.5602571002146348E+00 a        38     0     4     1     8
  1.8444465776341893E+01 a        39     0     4     1     9
 -7.9543669997190110E+00 a        40     0     4     1    10
  6.5786255476497715E+00 a        41     0     5     1     1
  2.7006560669806671E+01 a        42     0     5     1     2
 -3.8552501372380292E+00 a        43     0     5     1     3
 -2.5874822536545739E+01 a        44     0     5     1     4
  1.1263505989732012E+01 a        45     0     5     1     5
 -2.5655807321406545E+01 a        46     0     5     1     6
 -3.7779802442853779E+01 a        47     0     5     1     7
  3.5938665815185020E+00 a        48     0     5     1     8
 -1.0273661322157421E+01 a        49     0     5     1     9
  1.6092856053267841E+01 a        50     0     5     1    10
 -5.9390705176610736E-01 a        51     0     6     1     1
 -9.7094092956924101E+00 a        52     0     6     1     2
  2.4027027665494987E+00 a        53     0     6     1     3
  2.3402866078988232E+01 a        54     0     6     1     4
 -1.2293020321816707E+01 a        55     0     6     1     5
  4.4176445686749446E+00 a        56     0     6     1     6
  1.7300228891846182E+01 a        57     0     6     1     7
  4.0082122604593380E+00 a        58     0     6     1     8
  1.0908350012104029E+00 a        59     0     6     1     9
 -1.9644207005316257E+01 a        60     0     6     1    10
  1.9216094997891335E+00 a        61     0     7     1     1
 -1.3083727255172357E+00 a        62     0     7     1     2
 -1.4786669605950182E+00 a        63     0     7     1     3
 -1.3236252860540231E+01 a        64     0     7     1     4
  4.5528922375413039E+00 a        65     0     7     1     5
  1.2872172810882336E+00 a        66     0     7     1     6
 -5.0376736397839794E+00 a        67     0     7     1     7
 -3.8746546556552017E+00 a        68     0     7     1     8
  2.1065157391092675E+00 a        69     0     7     1     9
  1.2866038822872573E+01 a        70     0     7     1    10
 -2.2362777575696535E+00 a        71     0     8     1     1
  1.2487264758246663E-01 a        72     0     8     1     2
  1.6129434152304527E+00 a        73     0     8     1     3
  4.5779612467065363E+00 a        74     0     8     1     4
  1.2398892558823409E+00 a        75     0     8     1     5
 -4.7056959414349381E-01 a        76     0     8     1     6
  1.4210008598928503E-01 a        77     0     8     1     7
  2.3876548311989532E+00 a        78     0     8     1     8
